id,d1,d2,d3,d4,d5
128,0.000000000000000000e+00,-2.000000000000000000e+00,-4.000000000000000222e-01,-6.999999999999999556e-01,-9.000000000000000222e-01
129,0.000000000000000000e+00,-5.999999999999999778e-01,-1.199999999999999956e+00,-2.100000000000000089e+00,-5.999999999999999778e-01
130,0.000000000000000000e+00,-1.100000000000000089e+00,-9.000000000000000222e-01,-2.000000000000000000e+00,-4.000000000000000222e-01
131,0.000000000000000000e+00,-2.000000000000000000e+00,-8.000000000000000444e-01,-1.699999999999999956e+00,0.000000000000000000e+00
132,0.000000000000000000e+00,-6.999999999999999556e-01,-5.999999999999999778e-01,-2.000000000000000111e-01,-1.000000000000000000e+00
133,0.000000000000000000e+00,-3.500000000000000000e+00,-2.299999999999999822e+00,-1.699999999999999956e+00,-6.999999999999999556e-01
134,0.000000000000000000e+00,-1.000000000000000000e+00,-2.600000000000000089e+00,-2.500000000000000000e+00,-3.399999999999999911e+00
135,0.000000000000000000e+00,-5.999999999999999778e-01,-1.800000000000000044e+00,-1.500000000000000000e+00,-1.100000000000000089e+00
136,0.000000000000000000e+00,-2.100000000000000089e+00,-2.000000000000000000e+00,-3.100000000000000089e+00,-6.999999999999999556e-01
137,0.000000000000000000e+00,-1.100000000000000089e+00,-1.600000000000000089e+00,-2.899999999999999911e+00,0.000000000000000000e+00
138,0.000000000000000000e+00,-8.000000000000000444e-01,-3.799999999999999822e+00,-2.399999999999999911e+00,-2.799999999999999822e+00
139,0.000000000000000000e+00,-2.000000000000000000e+00,-2.600000000000000089e+00,-3.000000000000000000e+00,-2.500000000000000000e+00
140,0.000000000000000000e+00,-3.600000000000000089e+00,-3.899999999999999911e+00,-5.599999999999999645e+00,-4.200000000000000178e+00
141,0.000000000000000000e+00,-4.200000000000000178e+00,-5.799999999999999822e+00,-5.400000000000000355e+00,-4.500000000000000000e+00
142,0.000000000000000000e+00,-3.700000000000000178e+00,-6.900000000000000355e+00,-5.099999999999999645e+00,-5.900000000000000355e+00
143,0.000000000000000000e+00,-5.500000000000000000e+00,-6.299999999999999822e+00,-6.500000000000000000e+00,-7.700000000000000178e+00
144,0.000000000000000000e+00,-5.500000000000000000e+00,-7.000000000000000000e+00,-6.400000000000000355e+00,-7.299999999999999822e+00
145,0.000000000000000000e+00,-4.700000000000000178e+00,-6.099999999999999645e+00,-7.599999999999999645e+00,-6.200000000000000178e+00
146,0.000000000000000000e+00,-4.299999999999999822e+00,-6.000000000000000000e+00,-5.799999999999999822e+00,-5.099999999999999645e+00
147,0.000000000000000000e+00,-1.399999999999999911e+00,-4.200000000000000178e+00,-3.700000000000000178e+00,-4.700000000000000178e+00
148,0.000000000000000000e+00,-2.399999999999999911e+00,-3.899999999999999911e+00,-2.500000000000000000e+00,-4.400000000000000355e+00
149,0.000000000000000000e+00,-8.000000000000000444e-01,-4.700000000000000178e+00,-2.100000000000000089e+00,-2.399999999999999911e+00
150,0.000000000000000000e+00,-1.500000000000000000e+00,-2.899999999999999911e+00,-4.000000000000000000e+00,-1.800000000000000044e+00
151,0.000000000000000000e+00,-1.199999999999999956e+00,-3.700000000000000178e+00,-3.600000000000000089e+00,-4.299999999999999822e+00
152,0.000000000000000000e+00,-1.500000000000000000e+00,-2.399999999999999911e+00,-2.399999999999999911e+00,-1.000000000000000056e-01
153,0.000000000000000000e+00,-3.200000000000000178e+00,-2.700000000000000178e+00,-1.899999999999999911e+00,-1.500000000000000000e+00
154,0.000000000000000000e+00,-2.100000000000000089e+00,-3.600000000000000089e+00,-3.899999999999999911e+00,-2.799999999999999822e+00
155,0.000000000000000000e+00,-2.399999999999999911e+00,-3.700000000000000178e+00,-3.799999999999999822e+00,-3.000000000000000000e+00
156,0.000000000000000000e+00,-3.200000000000000178e+00,-4.299999999999999822e+00,-4.500000000000000000e+00,-4.700000000000000178e+00
157,0.000000000000000000e+00,-5.299999999999999822e+00,-4.599999999999999645e+00,-6.000000000000000000e+00,-5.200000000000000178e+00
158,0.000000000000000000e+00,-6.700000000000000178e+00,-7.099999999999999645e+00,-5.500000000000000000e+00,-5.000000000000000000e+00
159,0.000000000000000000e+00,-7.000000000000000000e+00,-8.500000000000000000e+00,-8.800000000000000711e+00,-6.400000000000000355e+00
160,0.000000000000000000e+00,-8.699999999999999289e+00,-1.000000000000000000e+01,-9.800000000000000711e+00,-9.000000000000000000e+00
161,0.000000000000000000e+00,-6.799999999999999822e+00,-7.299999999999999822e+00,-8.800000000000000711e+00,-6.099999999999999645e+00
162,0.000000000000000000e+00,-6.400000000000000355e+00,-4.400000000000000355e+00,-6.400000000000000355e+00,-4.900000000000000355e+00
163,0.000000000000000000e+00,-4.400000000000000355e+00,-3.200000000000000178e+00,-4.400000000000000355e+00,-4.599999999999999645e+00
164,0.000000000000000000e+00,-2.299999999999999822e+00,-4.500000000000000000e+00,-4.500000000000000000e+00,-1.800000000000000044e+00
165,0.000000000000000000e+00,-2.899999999999999911e+00,-2.299999999999999822e+00,-4.200000000000000178e+00,-4.200000000000000178e+00
166,0.000000000000000000e+00,-1.699999999999999956e+00,-2.500000000000000000e+00,-2.399999999999999911e+00,-3.799999999999999822e+00
