1308685284.76 00:03:52:8A:E8:70 -77
1308685284.76 00:03:52:8A:E8:72 -75
1308685284.76 00:03:52:8A:E8:71 -74
1308685284.76 00:03:52:8F:73:00 -32
1308685284.76 00:1B:63:2D:5E:F9 -80
1308685284.76 40:4A:03:DE:CD:FE -46
1308685284.76 40:4A:03:DE:74:A0 -52
1308685284.76 00:03:52:8B:8C:E2 -70
1308685284.76 00:03:52:8B:8C:E3 -71
1308685284.76 00:03:52:8B:87:50 -76
1308685284.76 00:03:52:8B:87:52 -77
1308685288.13 00:03:52:8A:E8:70 -77
1308685288.13 00:03:52:8A:E8:72 -82
1308685288.13 00:03:52:8A:E8:71 -83
1308685288.13 00:03:52:8F:73:00 -43
1308685288.13 00:1B:63:2D:5E:F9 -80
1308685288.13 40:4A:03:DE:CD:FE -43
1308685288.13 40:4A:03:DE:74:A0 -52
1308685288.13 00:03:52:8B:8C:E2 -70
1308685288.13 00:03:52:8B:8C:E3 -71
1308685288.13 00:03:52:8B:87:50 -76
1308685288.13 00:03:52:8B:87:52 -77
1308685288.13 00:1E:E5:F7:29:DF -84
1308685288.13 00:03:52:8F:73:01 -43
1308685288.13 00:03:52:8F:73:02 -42
1308685288.13 00:03:52:8F:73:03 -41
1308685288.13 00:03:52:8F:73:04 -40
1308685288.13 00:03:52:8B:24:C0 -62
1308685291.6 00:03:52:8A:E8:70 -77
1308685291.6 00:03:52:8A:E8:72 -86
1308685291.6 00:03:52:8A:E8:71 -83
1308685291.6 00:03:52:8F:73:00 -43
1308685291.6 00:1B:63:2D:5E:F9 -80
1308685291.6 40:4A:03:DE:CD:FE -45
1308685291.6 40:4A:03:DE:74:A0 -47
1308685291.6 00:03:52:8B:8C:E2 -70
1308685291.6 00:03:52:8B:8C:E3 -71
1308685291.6 00:03:52:8B:87:50 -76
1308685291.6 00:03:52:8B:87:52 -77
1308685291.6 00:1E:E5:F7:29:DF -87
1308685291.6 00:03:52:8F:73:01 -43
1308685291.6 00:03:52:8F:73:02 -42
1308685291.6 00:03:52:8F:73:03 -41
1308685291.6 00:03:52:8F:73:04 -40
1308685291.6 00:03:52:8B:24:C0 -59
1308685291.6 00:03:52:8B:2E:A0 -81
1308685291.6 00:03:52:8B:2C:E4 -84
1308685291.6 00:03:52:8B:8D:10 -75
1308685291.6 00:03:52:8B:8D:11 -73
1308685291.6 00:03:52:8B:8D:12 -73
1308685291.6 00:03:52:8B:8D:13 -73
1308685291.6 00:03:52:8B:8D:14 -74
1308685291.6 00:1A:70:F0:9C:4F -77
1308685291.6 00:03:52:8B:8C:E0 -71
1308685294.87 00:03:52:8A:E8:70 -77
1308685294.87 00:03:52:8A:E8:72 -86
1308685294.87 00:03:52:8A:E8:71 -83
1308685294.87 00:03:52:8F:73:00 -48
1308685294.87 00:1B:63:2D:5E:F9 -85
1308685294.87 40:4A:03:DE:CD:FE -47
1308685294.87 40:4A:03:DE:74:A0 -51
1308685294.87 00:03:52:8B:8C:E2 -70
1308685294.87 00:03:52:8B:8C:E3 -71
1308685294.87 00:03:52:8B:87:50 -76
1308685294.87 00:03:52:8B:87:52 -77
1308685294.87 00:1E:E5:F7:29:DF -87
1308685294.87 00:03:52:8F:73:01 -47
1308685294.87 00:03:52:8F:73:02 -47
1308685294.87 00:03:52:8F:73:03 -47
1308685294.87 00:03:52:8F:73:04 -48
1308685294.87 00:03:52:8B:24:C0 -58
1308685294.87 00:03:52:8B:2E:A0 -81
1308685294.87 00:03:52:8B:2C:E4 -84
1308685294.87 00:03:52:8B:8D:10 -75
1308685294.87 00:03:52:8B:8D:11 -74
1308685294.87 00:03:52:8B:8D:12 -76
1308685294.87 00:03:52:8B:8D:13 -76
1308685294.87 00:03:52:8B:8D:14 -76
1308685294.87 00:1A:70:F0:9C:4F -73
1308685294.87 00:03:52:8B:8C:E0 -76
1308685294.87 5C:0E:8B:13:B7:40 -76
1308685294.87 00:03:52:8B:5F:60 -79
1308685294.87 00:03:52:8B:5F:61 -77
1308685294.87 00:03:52:8B:5F:62 -78
1308685294.87 00:03:52:8B:5F:63 -80
1308685294.87 00:03:52:8B:5F:64 -79
1308685298.24 00:03:52:8A:E8:72 -86
1308685298.24 00:03:52:8A:E8:71 -83
1308685298.24 00:03:52:8F:73:00 -57
1308685298.24 00:1B:63:2D:5E:F9 -85
1308685298.24 40:4A:03:DE:CD:FE -54
1308685298.24 40:4A:03:DE:74:A0 -54
1308685298.24 00:1E:E5:F7:29:DF -87
1308685298.24 00:03:52:8F:73:01 -47
1308685298.24 00:03:52:8F:73:02 -47
1308685298.24 00:03:52:8F:73:03 -47
1308685298.24 00:03:52:8F:73:04 -48
1308685298.24 00:03:52:8B:24:C0 -58
1308685298.24 00:03:52:8B:2E:A0 -81
1308685298.24 00:03:52:8B:2C:E4 -84
1308685298.24 00:03:52:8B:8D:10 -71
1308685298.24 00:03:52:8B:8D:11 -74
1308685298.24 00:03:52:8B:8D:12 -76
1308685298.24 00:03:52:8B:8D:13 -76
1308685298.24 00:03:52:8B:8D:14 -76
1308685298.24 00:1A:70:F0:9C:4F -70
1308685298.24 00:03:52:8B:8C:E0 -76
1308685298.24 5C:0E:8B:13:B7:40 -77
1308685298.24 00:03:52:8B:5F:60 -79
1308685298.24 00:03:52:8B:5F:61 -77
1308685298.24 00:03:52:8B:5F:62 -78
1308685298.24 00:03:52:8B:5F:63 -80
1308685298.24 00:03:52:8B:5F:64 -79
1308685298.24 00:03:52:8B:2E:A1 -80
1308685298.24 00:03:52:8B:2E:A2 -81
1308685298.24 00:03:52:8B:85:00 -81
1308685298.24 00:03:52:8B:85:04 -78
1308685298.24 00:03:52:8B:87:54 -82
1308685301.51 00:03:52:8A:E8:72 -86
1308685301.51 00:03:52:8F:73:00 -55
1308685301.51 00:1B:63:2D:5E:F9 -85
1308685301.51 40:4A:03:DE:CD:FE -52
1308685301.51 40:4A:03:DE:74:A0 -54
1308685301.51 00:1E:E5:F7:29:DF -87
1308685301.51 00:03:52:8F:73:01 -47
1308685301.51 00:03:52:8F:73:02 -47
1308685301.51 00:03:52:8F:73:03 -47
1308685301.51 00:03:52:8F:73:04 -48
1308685301.51 00:03:52:8B:24:C0 -52
1308685301.51 00:03:52:8B:2E:A0 -81
1308685301.51 00:03:52:8B:2C:E4 -84
1308685301.51 00:03:52:8B:8D:10 -71
1308685301.51 00:03:52:8B:8D:11 -74
1308685301.51 00:03:52:8B:8D:12 -76
1308685301.51 00:03:52:8B:8D:13 -76
1308685301.51 00:03:52:8B:8D:14 -76
1308685301.51 00:1A:70:F0:9C:4F -71
1308685301.51 00:03:52:8B:8C:E0 -76
1308685301.51 5C:0E:8B:13:B7:40 -81
1308685301.51 00:03:52:8B:5F:60 -75
1308685301.51 00:03:52:8B:5F:61 -77
1308685301.51 00:03:52:8B:5F:62 -78
1308685301.51 00:03:52:8B:5F:63 -80
1308685301.51 00:03:52:8B:5F:64 -79
1308685301.51 00:03:52:8B:2E:A1 -80
1308685301.51 00:03:52:8B:2E:A2 -81
1308685301.51 00:03:52:8B:85:00 -74
1308685301.51 00:03:52:8B:85:04 -78
