timestamp,00:03:52:8B:24:C0,00:03:52:8B:53:F4,00:03:52:8B:53:F3,00:03:52:8B:53:F2,00:03:52:8B:53:F1,00:03:52:8B:53:F0,00:80:48:51:E8:52,1E:A1:E7:08:C2:B8,00:03:52:8B:2C:E0,00:03:52:8B:2C:E3,00:03:52:8B:2C:E2,00:03:52:8B:2C:E4,00:03:52:94:5D:81,00:03:52:94:5D:80,00:03:52:94:5D:83,00:03:52:94:5D:82,00:03:52:94:5D:84,00:1B:63:2D:5E:F9,00:03:52:8B:8B:61,00:03:52:8B:8B:60,00:03:52:8B:8B:63,00:03:52:8B:8B:62,00:03:52:8B:8B:64,00:1E:E5:F7:29:DF,00:03:52:8B:85:04,00:03:52:8B:85:02,00:03:52:8B:85:03,00:03:52:8B:85:00,00:03:52:8B:85:01,00:03:52:8B:87:24,00:03:52:8B:87:22,00:03:52:8B:87:23,00:03:52:8B:87:20,00:03:52:8B:87:21,00:24:7B:10:EE:60,26:AB:81:D1:88:73,00:03:52:8B:2E:A4,00:03:52:8B:2E:A3,00:03:52:8B:2E:A2,00:03:52:8B:2E:A1,00:03:52:8B:2E:A0,00:A0:F8:C3:BF:5A,00:03:52:8A:E8:72,00:03:52:8B:8D:12,00:03:52:8B:8D:13,00:03:52:8B:8D:10,00:03:52:8B:8D:11,00:03:52:8B:8D:14,00:03:52:8B:8C:E3,00:03:52:8B:8C:E2,00:03:52:8B:8C:E1,00:03:52:8B:8C:E0,00:A0:F8:DD:17:2A,00:03:52:8B:8C:E4,5C:0E:8B:13:40:E0,00:03:52:8B:37:61,00:03:52:8B:37:60,00:03:52:8B:37:63,00:03:52:8B:37:62,00:03:52:8B:37:64,00:A0:F8:C3:BD:75,00:03:52:8B:2C:E1,00:03:52:8B:24:C4,00:03:52:8B:24:C2,00:03:52:8B:24:C3,00:1A:70:F0:9C:4F,00:03:52:8B:24:C1,00:03:52:8B:2A:62,00:03:52:8B:2A:63,00:03:52:8B:2A:60,00:03:52:8B:2A:61,00:03:52:8B:2A:64,40:4A:03:DE:74:A0,00:03:52:8B:87:54,00:03:52:8B:87:53,00:03:52:8B:87:52,00:03:52:8B:87:51,00:03:52:8B:87:50,00:80:48:51:E8:74,00:24:01:E0:D1:7D,00:03:52:8F:73:04,00:03:52:8F:73:03,00:03:52:8F:73:02,00:03:52:8F:73:01,00:03:52:8F:73:00,00:03:52:8B:5F:60,00:03:52:8B:5F:61,00:03:52:8B:5F:62,00:03:52:8B:5F:63,00:03:52:8B:5F:64,00:03:52:8A:E8:70,00:03:52:8A:E8:71,00:03:52:8B:29:40,00:03:52:8B:29:41,00:03:52:8B:29:42,00:03:52:8B:29:43,00:03:52:8B:29:44,5C:0E:8B:13:B7:40,00:1E:E5:F6:F6:ED
130,-95,-88,-86,-91,-91,-90,-64,-80,-95,-95,-95,-95,-81,-85,-80,-82,-85,-95,-95,-95,-95,-95,-95,-95,-81,-81,-81,-84,-95,-88,-89,-89,-95,-87,-89,-78,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-82,-95,-95,-95,-95,-95,-86,-95,-80,-95,-86,-82,-95,-79,-82,-89,-76,-88,-95,-95,-95,-95,-95,-95,-56,-95,-95,-95,-95,-95,-95,-51,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-95,-95
498,-95,-95,-95,-95,-95,-95,-95,-95,-84,-85,-82,-79,-95,-95,-95,-95,-95,-47,-95,-49,-95,-95,-88,-61,-95,-95,-95,-95,-95,-62,-74,-61,-77,-64,-95,-95,-86,-71,-74,-76,-73,-95,-70,-71,-71,-79,-72,-71,-75,-75,-95,-62,-95,-72,-95,-95,-95,-95,-95,-95,-95,-85,-95,-95,-95,-95,-95,-67,-68,-67,-65,-67,-76,-66,-64,-64,-66,-72,-95,-79,-69,-61,-68,-69,-60,-95,-95,-95,-95,-95,-71,-72,-95,-95,-95,-95,-95,-91,-72
134,-88,-88,-86,-91,-91,-90,-61,-80,-95,-95,-95,-95,-81,-85,-80,-82,-85,-95,-95,-95,-95,-95,-95,-95,-91,-75,-71,-72,-73,-82,-80,-83,-80,-80,-89,-85,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-82,-79,-95,-80,-82,-95,-95,-95,-95,-95,-86,-95,-80,-95,-86,-87,-86,-73,-82,-75,-76,-88,-95,-95,-95,-95,-95,-95,-60,-95,-95,-95,-95,-95,-95,-48,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
494,-95,-95,-95,-95,-95,-95,-95,-95,-84,-85,-82,-79,-95,-95,-95,-95,-95,-51,-95,-48,-95,-95,-88,-63,-95,-95,-95,-95,-95,-64,-64,-64,-63,-64,-95,-95,-86,-85,-69,-85,-85,-95,-65,-71,-71,-69,-72,-71,-75,-75,-95,-66,-95,-72,-95,-95,-95,-95,-95,-95,-95,-85,-95,-95,-95,-95,-95,-65,-70,-78,-71,-67,-75,-64,-64,-64,-66,-71,-95,-79,-69,-61,-68,-69,-55,-95,-95,-95,-95,-95,-74,-72,-95,-95,-95,-95,-95,-91,-71
138,-88,-95,-95,-91,-91,-90,-62,-86,-95,-95,-95,-95,-81,-85,-80,-82,-85,-95,-95,-95,-95,-95,-95,-95,-71,-68,-71,-70,-70,-77,-75,-77,-78,-87,-89,-88,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-81,-80,-82,-83,-95,-80,-82,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-81,-86,-73,-82,-74,-76,-88,-95,-95,-95,-95,-95,-95,-47,-95,-95,-95,-95,-95,-95,-49,-95,-95,-95,-95,-95,-95,-95,-95,-95,-92,-95,-95,-95
490,-95,-95,-95,-95,-95,-95,-95,-95,-82,-85,-82,-79,-89,-95,-90,-91,-95,-59,-95,-50,-95,-95,-95,-66,-95,-95,-95,-95,-95,-75,-61,-73,-72,-95,-95,-95,-72,-76,-75,-75,-73,-95,-65,-69,-68,-67,-68,-68,-75,-75,-95,-61,-95,-72,-95,-95,-95,-95,-95,-95,-95,-85,-95,-95,-95,-95,-95,-72,-68,-92,-71,-68,-85,-70,-68,-66,-62,-72,-95,-85,-69,-61,-68,-69,-68,-95,-95,-95,-95,-95,-66,-67,-95,-95,-95,-95,-95,-91,-68
626,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-86,-83,-88,-88,-92,-95,-90,-95,-95,-95,-95,-76,-75,-75,-77,-84,-95,-83,-95,-95,-76,-95,-95,-88,-70,-95,-80,-95,-87,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-89,-86,-83,-95,-95,-52,-87,-87,-87,-86,-88,-95,-95,-95,-95,-95,-95,-47,-82,-83,-80,-95,-95,-86,-87,-95,-95,-95,-95,-95,-83,-95
24,-62,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-80,-72,-80,-80,-79,-95,-95,-95,-95,-95,-95,-95,-57,-57,-64,-57,-57,-84,-95,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-18,-24,-18,-51,-20,-86,-86,-84,-95,-81,-69,-95,-95,-95,-95,-95,-67,-95,-95,-95,-95,-95,-70,-47,-60,-58,-58,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95
27,-59,-95,-95,-95,-95,-95,-81,-87,-95,-95,-95,-95,-95,-72,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-55,-56,-54,-52,-55,-87,-95,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-58,-58,-61,-46,-58,-95,-95,-84,-95,-81,-69,-95,-95,-95,-95,-95,-64,-95,-95,-95,-95,-95,-70,-44,-60,-58,-58,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95
20,-58,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-80,-72,-80,-80,-79,-95,-95,-95,-95,-95,-95,-95,-62,-63,-64,-63,-63,-89,-95,-85,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-18,-24,-18,-45,-20,-86,-86,-84,-85,-87,-69,-95,-95,-95,-95,-95,-73,-95,-95,-95,-95,-95,-70,-60,-58,-59,-56,-59,-95,-95,-95,-95,-95,-95,-95,-89,-95
23,-62,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-80,-72,-80,-80,-79,-95,-95,-95,-95,-95,-95,-95,-57,-57,-64,-57,-57,-84,-95,-95,-86,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-80,-95,-95,-95,-95,-95,-95,-95,-95,-87,-95,-95,-95,-95,-95,-95,-95,-18,-24,-18,-51,-20,-86,-86,-84,-95,-81,-69,-95,-95,-95,-95,-95,-71,-95,-95,-95,-95,-95,-70,-58,-60,-58,-58,-58,-95,-95,-95,-95,-95,-95,-95,-95,-95
95,-82,-83,-86,-86,-87,-86,-57,-88,-95,-95,-95,-95,-78,-81,-81,-78,-78,-87,-95,-95,-95,-95,-95,-95,-82,-86,-87,-75,-72,-86,-87,-86,-87,-88,-88,-71,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-84,-82,-82,-80,-95,-87,-79,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-72,-95,-80,-87,-86,-73,-75,-95,-95,-95,-95,-95,-95,-49,-95,-95,-95,-95,-95,-95,-63,-95,-95,-95,-95,-95,-95,-90,-89,-88,-95,-95,-95,-95
